Array Size, Time Taken (nanoseconds)
534, 37200
535, 37200
536, 38600
537, 38100
538, 37700
539, 37900
540, 37900
541, 37600
542, 37500
543, 37500
544, 37800
545, 37900
546, 38100
547, 37600
548, 37800
549, 37800
550, 37700
551, 38100
552, 38500
553, 38300
554, 38200
555, 38000
556, 38700
557, 38200
558, 38600
559, 42000
560, 38100
561, 37900
562, 37600
563, 38000
564, 38100
565, 37900
566, 38300
567, 38200
568, 38500
569, 37900
570, 38200
571, 38400
572, 38800
573, 38500
574, 38900
575, 37900
576, 38300
577, 38400
578, 38700
579, 38300
580, 38300
581, 38700
582, 38900
583, 38700
584, 39200
585, 38900
586, 38300
587, 38900
588, 55100
589, 38800
590, 38700
591, 38600
592, 38800
593, 38500
594, 38500
595, 38400
596, 38600
597, 38400
598, 39000
599, 38900
600, 39500
601, 39000
602, 39200
603, 45700
604, 47400
605, 47400
606, 48100
607, 50200
608, 51000
609, 48200
610, 50700
611, 51900
612, 49700
613, 47700
614, 53200
615, 54500
616, 52600
617, 55200
618, 54400
619, 54900
620, 51200
621, 51700
622, 51700
623, 49200
624, 50700
625, 51400
626, 53800
627, 56700
628, 54200
629, 51900
630, 52100
631, 119100
632, 57600
633, 51800
634, 51000
635, 54500
636, 53900
637, 55500
638, 56300
639, 57400
640, 56100
641, 55200
642, 55300
643, 57900
644, 56300
645, 55400
646, 56500
647, 57500
648, 55500
649, 57800
650, 57300
651, 55700
652, 55900
653, 57000
654, 56200
655, 55700
656, 55400
657, 57100
658, 56300
659, 58300
660, 57600
661, 56000
662, 56500
663, 58200
664, 59000
665, 56700
666, 57400
667, 59200
668, 58400
669, 58200
670, 60700
671, 58200
672, 57700
673, 60100
674, 59400
675, 60900
676, 60300
677, 58700
678, 60500
679, 62100
680, 61000
681, 59700
682, 62200
683, 60500
684, 62600
685, 60700
686, 61700
687, 61500
688, 61600
689, 61000
690, 60600
691, 61500
692, 62700
693, 61500
694, 63400
695, 60600
696, 57400
697, 57400
698, 57600
699, 58500
700, 60000
701, 59100
702, 58700
703, 57500
704, 50100
705, 46000
706, 46100
707, 45500
708, 46100
709, 45800
710, 45700
711, 45500
712, 45200
713, 45600
714, 46400
715, 45200
716, 45600
717, 46100
718, 46500
719, 45700
720, 46000
721, 46200
722, 45500
723, 45700
724, 46000
725, 46700
726, 46700
727, 46500
728, 46400
729, 46200
730, 46200
731, 46400
732, 46100
733, 46500
734, 46600
735, 46800
736, 45900
737, 46000
738, 46400
739, 46300
740, 46600
741, 46200
742, 46500
743, 46400
744, 46400
745, 46200
746, 46500
747, 46400
748, 46300
749, 46900
750, 46600
751, 46200
752, 46400
753, 46800
754, 47000
755, 46200
756, 46900
757, 46600
758, 46600
759, 46400
760, 46900
761, 46400
762, 47200
763, 46600
764, 46800
765, 46800
766, 46200
767, 46700
768, 47100
769, 47500
770, 47800
771, 47100
772, 46800
773, 46400
774, 46900
775, 47200
776, 47100
777, 46800
778, 47300
779, 46700
780, 46600
781, 46700
782, 47100
783, 46300
784, 46600
785, 47300
786, 46900
787, 46800
788, 47000
789, 48800
790, 48500
791, 48100
792, 48100
793, 47900
794, 48500
795, 48200
796, 47800
797, 48200
798, 48100
799, 48200
800, 47600
801, 47700
802, 48500
803, 48000
804, 47500
805, 48200
806, 47600
807, 47200
808, 48100
809, 47900
810, 49300
811, 47800
812, 47800
813, 47900
814, 48000
815, 47600
816, 48000
817, 47800
818, 48100
819, 48400
820, 47900
821, 48500
822, 48100
823, 47700
824, 48500
825, 48200
826, 48200
827, 48800
828, 48600
829, 48400
830, 48000
831, 48600
832, 47900
833, 48100
834, 48300
835, 49000
836, 48600
837, 48800
838, 48500
839, 48000
840, 47500
841, 47800
842, 48700
843, 48300
844, 47700
845, 49400
846, 48600
847, 48100
848, 48400
849, 48500
850, 48700
851, 48300
852, 48300
853, 49300
854, 48700
855, 48000
856, 48300
857, 47700
858, 48400
859, 48500
860, 48300
861, 48500
862, 48600
863, 48300
864, 47800
865, 48200
866, 48400
867, 48400
868, 48200
869, 48400
870, 48400
871, 48300
872, 48200
873, 48100
874, 49000
875, 48400
876, 48500
877, 49400
878, 48900
879, 48300
880, 48800
881, 48700
882, 49100
883, 49000
884, 49400
885, 49300
886, 49300
887, 49100
888, 49300
889, 49300
890, 49200
891, 49200
892, 49400
893, 49200
894, 49000
895, 49000
896, 48800
897, 49500
898, 50200
899, 49000
900, 49200
901, 49400
902, 71400
903, 49700
904, 49400
905, 49300
906, 49700
907, 49400
908, 48900
909, 49600
910, 49300
911, 49000
912, 49100
913, 49400
914, 49600
915, 49300
916, 49100
917, 50200
918, 50600
919, 50400
920, 49900
921, 49800
922, 50000
923, 50000
924, 49900
925, 50300
926, 50100
927, 50500
928, 49500
929, 49900
930, 50500
931, 50100
932, 49900
933, 50100
934, 50100
935, 50200
936, 49700
937, 50400
938, 51000
939, 51100
940, 50800
941, 51400
942, 51300
943, 50900
944, 50700
945, 50900
946, 50600
947, 51500
948, 50800
949, 50800
950, 51000
951, 51200
952, 51600
953, 50700
954, 50800
955, 50900
956, 52500
957, 50900
958, 51500
959, 52100
960, 51400
961, 51300
962, 51300
963, 51000
964, 51600
965, 51700
966, 50900
967, 51200
968, 51000
969, 50900
970, 52900
971, 51300
972, 51300
973, 51000
974, 51300
975, 51800
976, 50900
977, 52500
978, 51300
979, 51900
980, 51300
981, 51200
982, 51100
983, 52200
984, 51800
985, 51500
986, 51500
987, 52100
988, 51900
989, 51900
990, 52000
991, 51700
992, 51800
993, 51700
994, 51700
995, 51300
996, 51700
997, 51000
998, 51200
999, 52000
1000, 51700
1001, 51400
1002, 51900
1003, 52100
1004, 52000
1005, 52400
1006, 52500
1007, 52300
1008, 52000
1009, 53000
1010, 52600
1011, 52800
1012, 52700
1013, 52300
1014, 52300
1015, 53100
1016, 53400
1017, 53400
1018, 52700
1019, 53300
1020, 53800
1021, 53200
1022, 53100
1023, 52700
1024, 53100
1025, 53400
1026, 53600
1027, 53900
1028, 52800
1029, 52700
1030, 52100
1031, 53300
1032, 53200
1033, 53200
1034, 53200
1035, 53300
1036, 53400
1037, 53400
1038, 52900
1039, 52900
1040, 52700
1041, 53100
1042, 53300
1043, 53400
1044, 52900
1045, 53000
1046, 52900
1047, 54100
1048, 54200
1049, 53100
1050, 53400
1051, 53700
1052, 53700
1053, 53900
1054, 53500
1055, 53300
1056, 53700
1057, 53700
1058, 53400
1059, 53600
1060, 53600
1061, 52900
1062, 53200
1063, 53700
1064, 53800
1065, 53600
1066, 53600
1067, 54200
1068, 53900
1069, 53500
1070, 53800
1071, 53600
1072, 53800
1073, 53500
1074, 53600
1075, 53900
1076, 53600
1077, 54100
1078, 53500
1079, 53900
1080, 54800
1081, 53800
1082, 53900
1083, 55200
1084, 55000
1085, 54200
1086, 54200
1087, 54000
1088, 54200
1089, 54200
1090, 54700
1091, 54100
1092, 54700
1093, 55500
1094, 54000
1095, 54500
1096, 54700
1097, 54300
1098, 56300
1099, 55000
1100, 54800
1101, 54700
1102, 54900
1103, 55000
1104, 54500
1105, 55600
1106, 54700
1107, 55100
1108, 54400
1109, 55000
1110, 54300
1111, 55300
1112, 54800
1113, 54900
1114, 55100
1115, 54900
1116, 55600
1117, 55400
1118, 55000
1119, 54900
1120, 55100
1121, 55300
1122, 55100
1123, 55500
1124, 55700
1125, 55600
1126, 54600
1127, 55100
1128, 55200
1129, 55400
1130, 55300
1131, 55700
1132, 56000
1133, 55700
1134, 55900
1135, 55700
1136, 55800
1137, 56800
1138, 56400
1139, 56400
1140, 56600
1141, 56600
1142, 56300
1143, 56700
1144, 56700
1145, 56700
1146, 56700
1147, 57100
1148, 57300
1149, 57000
1150, 57200
1151, 56800
1152, 57200
1153, 56900
1154, 57000
1155, 57300
1156, 57300
1157, 57200
1158, 57000
1159, 57200
1160, 57800
1161, 57600
1162, 57200
1163, 57300
1164, 58000
1165, 57700
1166, 58000
1167, 56900
1168, 56900
1169, 57300
1170, 57400
1171, 57900
1172, 58000
1173, 58000
1174, 57700
1175, 56900
1176, 57600
1177, 57400
1178, 57300
1179, 57600
1180, 58100
1181, 57800
1182, 57700
1183, 58300
1184, 58200
1185, 58000
1186, 58000
1187, 57900
1188, 58100
1189, 57700
1190, 57800
1191, 57900
1192, 73200
1193, 73000
1194, 108900
1195, 104200
1196, 91100
1197, 90400
1198, 89400
1199, 88900
1200, 88300
1201, 87600
1202, 88200
1203, 87400
1204, 87800
1205, 96300
1206, 209200
1207, 87700
1208, 87800
1209, 87500
1210, 95500
1211, 88000
1212, 88800
1213, 87800
1214, 88000
1215, 88700
1216, 113800
1217, 120000
1218, 119200
1219, 119000
1220, 128700
1221, 120200
1222, 118200
1223, 118900
1224, 109100
1225, 60800
1226, 59000
1227, 58700
1228, 59400
1229, 59500
1230, 59900
1231, 61000
1232, 60800
1233, 58700
1234, 58800
1235, 58400
1236, 58600
1237, 58900
1238, 58500
1239, 59100
1240, 59500
1241, 58900
1242, 59200
1243, 59500
1244, 59800
1245, 59800
1246, 59400
1247, 59800
1248, 65500
1249, 59500
1250, 59800
1251, 59500
1252, 59800
1253, 59400
1254, 58900
1255, 59300
1256, 59800
1257, 59100
1258, 59700
1259, 59500
1260, 59900
1261, 60400
1262, 60400
1263, 59700
1264, 60400
1265, 64900
1266, 60400
1267, 59700
1268, 60100
1269, 59900
1270, 59800
1271, 59500
1272, 59700
1273, 59600
1274, 59700
1275, 60200
1276, 60200
1277, 59900
1278, 60100
1279, 60300
1280, 60800
1281, 65800
1282, 61600
1283, 60000
1284, 60600
1285, 60100
1286, 60100
1287, 60100
1288, 60500
1289, 60000
1290, 60300
1291, 60100
1292, 60500
1293, 60700
1294, 61000
1295, 60400
1296, 60300
1297, 60400
1298, 65000
1299, 60300
1300, 60100
1301, 60500
1302, 60000
1303, 61100
1304, 61100
1305, 60900
1306, 61100
1307, 61000
1308, 61400
1309, 61400
1310, 60900
1311, 61300
1312, 61400
1313, 61100
1314, 65300
1315, 61300
1316, 61200
1317, 60800
1318, 61200
1319, 60700
1320, 61000
1321, 60800
1322, 61700
1323, 61400
1324, 61800
1325, 61600
1326, 61600
1327, 61400
1328, 61400
1329, 60900
1330, 66800
1331, 60900
1332, 61300
1333, 61100
1334, 61500
1335, 61200
1336, 61400
1337, 61200
1338, 61500
1339, 62000
1340, 61800
1341, 62200
1342, 61600
1343, 61800
1344, 62400
1345, 61900
1346, 66900
1347, 75800
1348, 68000
1349, 61900
1350, 61600
1351, 61400
1352, 61800
1353, 61500
1354, 62100
1355, 62300
1356, 61900
1357, 61900
1358, 62500
1359, 61700
1360, 61800
1361, 61700
1362, 67900
1363, 61800
1364, 61700
1365, 61900
1366, 61900
1367, 61600
1368, 61600
1369, 61300
1370, 61900
1371, 62200
1372, 61900
1373, 61800
1374, 61700
1375, 62100
1376, 62100
1377, 61800
1378, 67400
1379, 62000
1380, 61800
1381, 62000
1382, 61400
1383, 61600
1384, 61800
1385, 61200
1386, 62000
1387, 61800
1388, 62300
1389, 62200
1390, 62200
1391, 61900
1392, 62600
1393, 62700
1394, 63000
1395, 62000
1396, 62400
1397, 62500
1398, 62200
1399, 62300
1400, 62200
1401, 63000
1402, 71400
1403, 62900
1404, 62800
1405, 63000
1406, 62500
1407, 62400
1408, 62500
1409, 63300
1410, 63200
1411, 63000
1412, 63300
1413, 63000
1414, 62700
1415, 63200
1416, 62800
1417, 62900
1418, 75800
1419, 67700
1420, 64000
1421, 63500
1422, 64300
1423, 63600
1424, 63800
1425, 63700
1426, 63700
1427, 64000
1428, 81200
1429, 62900
1430, 62600
1431, 63600
1432, 63800
1433, 71300
1434, 65300
1435, 63600
1436, 63200
1437, 63700
1438, 63500
1439, 63900
1440, 63700
1441, 63300
1442, 63700
1443, 63700
1444, 64600
1445, 63700
1446, 63800
1447, 63600
1448, 66900
1449, 65500
1450, 63800
1451, 64600
1452, 64400
1453, 64900
1454, 64600
1455, 64800
1456, 64700
1457, 64800
1458, 64800
1459, 64300
1460, 64300
1461, 64300
1462, 64800
1463, 64300
1464, 64700
1465, 64800
1466, 64700
1467, 65000
1468, 64700
1469, 64800
1470, 65000
1471, 64400
1472, 65000
1473, 65600
1474, 64900
1475, 65100
1476, 65500
1477, 69200
1478, 67700
1479, 64800
1480, 65100
1481, 65000
1482, 65600
1483, 65300
1484, 64800
1485, 65300
1486, 65400
1487, 64900
1488, 64800
1489, 65300
1490, 65300
1491, 65100
1492, 65000
1493, 68700
1494, 64700
1495, 64700
1496, 64900
1497, 65800
1498, 65200
1499, 65400
1500, 64900
1501, 65700
1502, 65300
1503, 65000
1504, 65100
1505, 65800
1506, 65500
1507, 64900
1508, 70300
1509, 65300
1510, 65000
1511, 65300
1512, 65000
1513, 65700
1514, 65700
1515, 65700
1516, 65900
1517, 66000
1518, 65900
1519, 65600
1520, 65300
1521, 66400
1522, 66000
1523, 70800
1524, 65900
1525, 65900
1526, 66100
1527, 65300
1528, 66100
1529, 66500
1530, 66200
1531, 66100
1532, 66200
1533, 66000
1534, 66500
1535, 66100
1536, 66300
1537, 68100
1538, 70700
1539, 70100
1540, 66400
1541, 67200
1542, 66900
1543, 66600
1544, 66200
1545, 66800
1546, 66300
1547, 66700
1548, 66400
1549, 66600
1550, 66400
1551, 66500
1552, 66100
1553, 71100
1554, 70100
1555, 66600
1556, 66400
1557, 66600
1558, 66500
1559, 65900
1560, 66000
1561, 66400
1562, 66700
1563, 67000
1564, 66500
1565, 67000
1566, 66300
1567, 65900
1568, 71400
1569, 66700
1570, 66700
1571, 66100
1572, 66500
1573, 66900
1574, 66200
1575, 66600
1576, 65900
1577, 66900
1578, 66300
1579, 66500
1580, 66200
1581, 66200
1582, 67400
1583, 71500
1584, 69600
1585, 66900
1586, 66700
1587, 66300
1588, 66600
1589, 66600
1590, 67200
1591, 66600
1592, 66400
1593, 66500
1594, 67400
1595, 67300
1596, 67000
1597, 71700
1598, 67300
1599, 68500
1600, 83800
1601, 67400
1602, 67600
1603, 67400
1604, 67600
1605, 67800
1606, 67000
1607, 67100
1608, 67000
1609, 67200
1610, 68000
1611, 67400
1612, 72200
1613, 67100
1614, 67600
1615, 67000
1616, 67000
1617, 67500
1618, 67200
1619, 67100
1620, 67400
1621, 67200
1622, 67300
1623, 66900
1624, 66800
1625, 67500
1626, 67600
1627, 71700
1628, 70900
1629, 67200
1630, 67500
1631, 67000
1632, 67000
1633, 67700
1634, 67500
1635, 67000
1636, 67800
1637, 67100
1638, 66600
1639, 76500
1640, 67000
1641, 101000
1642, 70600
1643, 67400
1644, 67600
1645, 67200
1646, 67700
1647, 67200
1648, 67400
1649, 67800
1650, 67900
1651, 68000
1652, 67400
1653, 68300
1654, 67800
1655, 74000
1656, 72300
1657, 68200
1658, 68300
1659, 68200
1660, 68500
1661, 68000
1662, 67900
1663, 68000
1664, 67700
1665, 80300
1666, 68800
1667, 67800
1668, 75200
1669, 85900
1670, 75600
1671, 68200
1672, 68200
1673, 68700
1674, 69100
1675, 68200
1676, 260200
1677, 86600
1678, 69800
1679, 68000
1680, 67900
1681, 76500
1682, 68900
1683, 68500
1684, 68700
1685, 69200
1686, 69100
1687, 68100
1688, 72900
1689, 70300
1690, 69100
1691, 68800
1692, 69000
1693, 69200
1694, 68900
1695, 69000
1696, 69200
1697, 69400
1698, 84600
1699, 72300
1700, 69200
1701, 69100
1702, 68900
1703, 74200
1704, 68300
1705, 69700
1706, 69100
1707, 69000
1708, 68900
1709, 69000
1710, 69200
1711, 69100
1712, 69000
1713, 69200
1714, 69100
1715, 69300
1716, 68800
1717, 74800
1718, 69100
1719, 68900
1720, 68700
1721, 70000
1722, 69500
1723, 69600
1724, 78200
1725, 71800
1726, 69400
1727, 69600
1728, 69600
1729, 70400
1730, 69700
1731, 69500
1732, 70100
1733, 69900
1734, 69300
1735, 69900
1736, 69200
1737, 70100
1738, 74900
1739, 74200
1740, 69600
1741, 70000
1742, 69600
1743, 69900
1744, 69800
1745, 69900
1746, 70300
1747, 69800
1748, 69700
1749, 70100
1750, 69200
1751, 69800
1752, 70100
1753, 73900
1754, 70200
1755, 70300
1756, 70000
1757, 70100
1758, 70400
1759, 70200
1760, 70400
1761, 70800
1762, 70200
1763, 70300
1764, 70300
1765, 70400
1766, 69800
1767, 75400
1768, 69600
1769, 70900
1770, 70400
1771, 70100
1772, 70100
1773, 70400
1774, 70200
1775, 70200
1776, 70600
1777, 70800
1778, 70300
1779, 70300
1780, 70400
1781, 76500
1782, 70100
1783, 70600
1784, 70300
1785, 71100
1786, 70700
1787, 70500
1788, 70700
1789, 70400
1790, 70200
1791, 70600
1792, 71000
1793, 71900
1794, 71300
1795, 75000
1796, 70700
1797, 71300
1798, 71200
1799, 71300
1800, 70600
1801, 71200
1802, 71200
1803, 71100
1804, 70500
1805, 71100
1806, 70600
1807, 70700
1808, 76800
1809, 70800
1810, 71100
1811, 71400
1812, 71000
1813, 71200
1814, 70700
1815, 70400
1816, 70700
1817, 71700
1818, 71800
1819, 71500
1820, 71400
1821, 71400
1822, 78600
1823, 71500
1824, 71600
1825, 71700
1826, 71200
1827, 71200
1828, 71500
1829, 71500
1830, 71100
1831, 71900
1832, 82000
1833, 84100
1834, 71600
1835, 75900
1836, 72300
1837, 72000
1838, 72000
1839, 72400
1840, 71700
1841, 71600
1842, 71600
1843, 71900
1844, 71900
1845, 71800
1846, 71600
1847, 72100
1848, 71300
1849, 76700
1850, 75200
1851, 72100
1852, 71900
1853, 71700
1854, 71800
1855, 72400
1856, 72000
1857, 72500
1858, 72200
1859, 71900
1860, 72600
1861, 72300
1862, 72100
1863, 77200
1864, 71900
1865, 73200
1866, 72800
1867, 72500
1868, 72000
1869, 72100
1870, 72300
1871, 72400
1872, 72200
1873, 72700
1874, 72100
1875, 72600
1876, 72400
1877, 93000
1878, 90900
1879, 79400
1880, 72000
1881, 72600
1882, 72600
1883, 72800
1884, 72400
1885, 93000
1886, 80000
1887, 74400
1888, 72700
1889, 79400
1890, 86900
1891, 86200
1892, 72800
1893, 72500
1894, 71700
1895, 72400
1896, 72000
1897, 72900
1898, 72700
1899, 72500
1900, 72500
1901, 72500
1902, 72500
1903, 72400
1904, 72300
1905, 79500
1906, 72300
1907, 72500
1908, 72500
1909, 72800
1910, 72500
1911, 72600
1912, 79600
1913, 74600
1914, 73900
1915, 73300
1916, 77100
1917, 73200
1918, 73100
1919, 73300
1920, 73200
1921, 73500
1922, 73500
1923, 73300
1924, 74000
1925, 78400
1926, 73500
1927, 73300
1928, 73300
1929, 74000
1930, 74100
1931, 73200
1932, 73400
1933, 73700
1934, 73400
1935, 73100
1936, 73000
1937, 73400
1938, 73300
1939, 77100
1940, 73300
1941, 74000
1942, 73600
1943, 76500
1944, 73200
1945, 73800
1946, 74300
1947, 73700
1948, 73800
1949, 73800
1950, 73300
1951, 73800
1952, 79200
1953, 74600
1954, 73700
1955, 73700
1956, 77200
1957, 74800
1958, 73700
1959, 74200
1960, 73500
1961, 74700
1962, 85400
1963, 83500
1964, 74000
1965, 80800
1966, 74200
1967, 73800
1968, 77300
1969, 74100
1970, 74100
1971, 74500
1972, 74300
1973, 74400
1974, 74300
1975, 74100
1976, 74100
1977, 74700
1978, 76400
1979, 76700
1980, 74700
1981, 74900
1982, 74600
1983, 74400
1984, 74600
1985, 74800
1986, 74800
1987, 74600
1988, 75000
1989, 75000
1990, 74300
1991, 75000
1992, 79900
1993, 75200
1994, 78800
1995, 74900
1996, 74600
1997, 74900
1998, 74700
1999, 74700
2000, 74900
2001, 74700
2002, 75200
2003, 74900
2004, 74800
2005, 78700
2006, 74400
2007, 74900
2008, 74300
2009, 75600
2010, 75400
2011, 75400
2012, 75300
2013, 75100
2014, 75400
2015, 74900
2016, 74600
2017, 75200
2018, 80800
2019, 75000
2020, 75200
2021, 75100
2022, 74600
2023, 75200
2024, 74500
2025, 75500
2026, 75000
2027, 75000
2028, 75300
2029, 75500
2030, 75300
2031, 79500
2032, 75900
2033, 75300
2034, 75000
2035, 75500
2036, 75200
2037, 75500
2038, 74900
2039, 75100
2040, 75200
2041, 76100
2042, 75900
2043, 75300
2044, 75800
2045, 137500
2046, 75600
2047, 75800
2048, 76900
2049, 76700
2050, 76200
2051, 77000
2052, 76400
2053, 90000
2054, 85200
2055, 75900
2056, 77100
2057, 79500
2058, 76000
2059, 76000
2060, 75900
2061, 76200
2062, 76000
2063, 76400
2064, 75800
2065, 76300
2066, 76400
2067, 76300
2068, 76100
2069, 77500
2070, 79500
2071, 75700
2072, 75800
2073, 76800
2074, 76900
2075, 76800
2076, 76500
2077, 76800
2078, 76500
2079, 76900
2080, 76700
2081, 77100
2082, 79100
2083, 81800
2084, 76700
2085, 76900
2086, 76600
2087, 76900
2088, 76600
2089, 77200
2090, 76700
2091, 76800
2092, 76300
2093, 76600
2094, 76700
2095, 96200
2096, 76400
2097, 76800
2098, 76600
2099, 76800
2100, 76800
2101, 76800
2102, 76900
2103, 77100
2104, 76800
2105, 77500
2106, 76900
2107, 77500
2108, 82000
2109, 77200
2110, 77300
2111, 77500
2112, 77000
2113, 77900
2114, 77900
2115, 77500
2116, 77700
2117, 77400
2118, 77500
2119, 77900
2120, 77000
2121, 83000
2122, 77600
2123, 77800
2124, 77400
2125, 77700
2126, 77400
2127, 77400
2128, 77800
2129, 77700
2130, 77800
2131, 77700
2132, 78200
2133, 77600
2134, 81600
2135, 77800
2136, 77700
2137, 78500
2138, 78200
2139, 78100
2140, 78000
